State,District,Crop,Year,Season,Area,Production,Yield,Annual_Rainfall
Arunachal Pradesh,EAST KAMENG,Ginger,2003,Whole Year,47.0,209.0,4.446808511,2451.8
Arunachal Pradesh,EAST SIANG,Ginger,2001,Whole Year,560.0,4460.0,7.964285714,2036.0
Arunachal Pradesh,EAST SIANG,Ginger,2002,Whole Year,580.0,4820.0,8.310344828,2389.2
Arunachal Pradesh,EAST SIANG,Ginger,2003,Whole Year,600.0,4960.0,8.266666667,2451.8
Arunachal Pradesh,KURUNG KUMEY,Ginger,2002,Whole Year,20.0,145.0,7.25,2389.2
Arunachal Pradesh,KURUNG KUMEY,Ginger,2003,Whole Year,20.0,142.0,7.1,2451.8
Arunachal Pradesh,LOHIT,Ginger,2001,Whole Year,716.0,7160.0,10.0,2036.0
Arunachal Pradesh,LOHIT,Ginger,2002,Whole Year,695.0,6950.0,10.0,2389.2
Arunachal Pradesh,LOHIT,Ginger,2003,Whole Year,896.0,8064.0,9.0,2451.8
Arunachal Pradesh,LOWER DIBANG VALLEY,Ginger,2002,Whole Year,2211.0,15477.0,7.0,2389.2
Arunachal Pradesh,LOWER DIBANG VALLEY,Ginger,2003,Whole Year,2225.0,18912.0,8.499775281,2451.8
Arunachal Pradesh,LOWER SUBANSIRI,Ginger,2001,Whole Year,75.0,530.0,7.066666667,2036.0
Arunachal Pradesh,LOWER SUBANSIRI,Ginger,2002,Whole Year,56.0,386.0,6.892857143,2389.2
Arunachal Pradesh,LOWER SUBANSIRI,Ginger,2003,Whole Year,65.0,450.0,6.923076923,2451.8
Arunachal Pradesh,PAPUM PARE,Ginger,2001,Whole Year,55.0,385.0,7.0,2036.0
Arunachal Pradesh,PAPUM PARE,Ginger,2002,Whole Year,65.0,395.0,6.076923077,2389.2
Arunachal Pradesh,PAPUM PARE,Ginger,2003,Whole Year,57.0,452.0,7.929824561,2451.8
Arunachal Pradesh,TAWANG,Ginger,2002,Whole Year,32.0,80.0,2.5,2389.2
Arunachal Pradesh,TAWANG,Ginger,2003,Whole Year,32.0,80.0,2.5,2451.8
Arunachal Pradesh,TIRAP,Ginger,2001,Whole Year,110.0,500.0,4.545454545,2036.0
Arunachal Pradesh,TIRAP,Ginger,2002,Whole Year,116.0,528.0,4.551724138,2389.2
Arunachal Pradesh,TIRAP,Ginger,2003,Whole Year,115.0,530.0,4.608695652,2451.8
Arunachal Pradesh,UPPER SIANG,Ginger,2003,Whole Year,15.0,100.0,6.666666667,2451.8
Arunachal Pradesh,UPPER SUBANSIRI,Ginger,2001,Whole Year,55.0,275.0,5.0,2036.0
Arunachal Pradesh,UPPER SUBANSIRI,Ginger,2002,Whole Year,60.0,303.0,5.05,2389.2
Arunachal Pradesh,UPPER SUBANSIRI,Ginger,2003,Whole Year,65.0,308.0,4.738461538,2451.8
Arunachal Pradesh,WEST KAMENG,Ginger,2001,Whole Year,45.0,68.0,1.511111111,2036.0
Arunachal Pradesh,WEST KAMENG,Ginger,2002,Whole Year,45.0,68.0,1.511111111,2389.2
Arunachal Pradesh,WEST KAMENG,Ginger,2003,Whole Year,45.0,68.0,1.511111111,2451.8
Arunachal Pradesh,WEST SIANG,Ginger,2001,Whole Year,48.0,387.0,8.0625,2036.0
Arunachal Pradesh,WEST SIANG,Ginger,2002,Whole Year,63.0,424.0,6.73015873,2389.2
Arunachal Pradesh,WEST SIANG,Ginger,2003,Whole Year,63.0,420.0,6.666666667,2451.8
Arunachal Pradesh,CHANGLANG,Maize,2001,Kharif,985.0,1473.0,1.495431472,2036.0
Arunachal Pradesh,CHANGLANG,Maize,2002,Kharif,915.0,1373.0,1.500546448,2389.2
Arunachal Pradesh,CHANGLANG,Maize,2003,Kharif,918.0,1432.0,1.559912854,2451.8
Arunachal Pradesh,DIBANG VALLEY,Maize,2001,Kharif,2550.0,3050.0,1.196078431,2036.0
Arunachal Pradesh,DIBANG VALLEY,Maize,2002,Kharif,936.0,389.0,0.415598291,2389.2
Arunachal Pradesh,DIBANG VALLEY,Maize,2003,Kharif,950.0,1045.0,1.1,2451.8
Arunachal Pradesh,EAST KAMENG,Maize,2001,Kharif,2750.0,5300.0,1.927272727,2036.0
Arunachal Pradesh,EAST KAMENG,Maize,2002,Kharif,1830.0,3200.0,1.74863388,2389.2
Arunachal Pradesh,EAST KAMENG,Maize,2003,Kharif,2010.0,2697.0,1.341791045,2451.8
Arunachal Pradesh,EAST SIANG,Maize,2001,Kharif,800.0,1000.0,1.25,2036.0
Arunachal Pradesh,EAST SIANG,Maize,2002,Kharif,2760.0,5330.0,1.93115942,2389.2
Arunachal Pradesh,EAST SIANG,Maize,2003,Kharif,2718.0,5350.0,1.968359088,2451.8
Arunachal Pradesh,KURUNG KUMEY,Maize,2002,Kharif,1450.0,1840.0,1.268965517,2389.2
Arunachal Pradesh,KURUNG KUMEY,Maize,2003,Kharif,1350.0,1714.0,1.26962963,2451.8
Arunachal Pradesh,LOHIT,Maize,2001,Kharif,5800.0,8120.0,1.4,2036.0
Arunachal Pradesh,LOHIT,Maize,2002,Kharif,9041.0,10126.0,1.120008849,2389.2
Arunachal Pradesh,LOHIT,Maize,2003,Kharif,9058.0,9964.0,1.10002208,2451.8
Arunachal Pradesh,LOWER DIBANG VALLEY,Maize,2002,Kharif,5400.0,8910.0,1.65,2389.2
Arunachal Pradesh,LOWER DIBANG VALLEY,Maize,2003,Kharif,5450.0,9810.0,1.8,2451.8
Arunachal Pradesh,LOWER SUBANSIRI,Maize,2001,Kharif,1000.0,1750.0,1.75,2036.0
Arunachal Pradesh,LOWER SUBANSIRI,Maize,2002,Kharif,3380.0,4307.0,1.274260355,2389.2
Arunachal Pradesh,LOWER SUBANSIRI,Maize,2003,Kharif,1451.0,1836.0,1.265334252,2451.8
Arunachal Pradesh,PAPUM PARE,Maize,2001,Kharif,2145.0,2591.0,1.207925408,2036.0
Arunachal Pradesh,PAPUM PARE,Maize,2002,Kharif,2240.0,2700.0,1.205357143,2389.2
Arunachal Pradesh,PAPUM PARE,Maize,2003,Kharif,2093.0,2833.0,1.353559484,2451.8
Arunachal Pradesh,TAWANG,Maize,2001,Kharif,875.0,1640.0,1.874285714,2036.0
Arunachal Pradesh,TAWANG,Maize,2002,Kharif,880.0,1654.0,1.879545455,2389.2
Arunachal Pradesh,TAWANG,Maize,2003,Kharif,885.0,1682.0,1.900564972,2451.8
Arunachal Pradesh,TIRAP,Maize,2001,Kharif,1730.0,3079.0,1.779768786,2036.0
Arunachal Pradesh,TIRAP,Maize,2002,Kharif,2738.0,3307.0,1.207815924,2389.2
Arunachal Pradesh,TIRAP,Maize,2003,Kharif,2737.0,3310.0,1.209353307,2451.8
Arunachal Pradesh,UPPER SIANG,Maize,2001,Kharif,8230.0,9299.0,1.129890644,2036.0
Arunachal Pradesh,UPPER SIANG,Maize,2002,Kharif,950.0,1100.0,1.157894737,2389.2
Arunachal Pradesh,UPPER SIANG,Maize,2003,Kharif,950.0,1100.0,1.157894737,2451.8
Arunachal Pradesh,UPPER SUBANSIRI,Maize,2001,Kharif,4500.0,5700.0,1.266666667,2036.0
Arunachal Pradesh,UPPER SUBANSIRI,Maize,2002,Kharif,1025.0,1942.0,1.894634146,2389.2
Arunachal Pradesh,UPPER SUBANSIRI,Maize,2003,Kharif,1030.0,1947.0,1.890291262,2451.8
Arunachal Pradesh,WEST KAMENG,Maize,2001,Kharif,3667.0,5684.0,1.550040905,2036.0
Arunachal Pradesh,WEST KAMENG,Maize,2002,Kharif,3669.0,5690.0,1.550831289,2389.2
Arunachal Pradesh,WEST KAMENG,Maize,2003,Kharif,3670.0,5690.0,1.550408719,2451.8
Arunachal Pradesh,WEST SIANG,Maize,2001,Kharif,3545.0,3825.0,1.078984485,2036.0
Arunachal Pradesh,WEST SIANG,Maize,2002,Kharif,3334.0,4073.0,1.221655669,2389.2
Arunachal Pradesh,WEST SIANG,Maize,2003,Kharif,3335.0,4100.0,1.229385307,2451.8
Arunachal Pradesh,CHANGLANG,Oilseeds total,2001,Whole Year,3509.0,2864.0,0.816186948,2036.0
Arunachal Pradesh,CHANGLANG,Oilseeds total,2002,Whole Year,3500.0,2887.0,0.824857143,2389.2
Arunachal Pradesh,CHANGLANG,Oilseeds total,2003,Whole Year,3522.0,2556.0,0.72572402,2451.8
Arunachal Pradesh,DIBANG VALLEY,Oilseeds total,2001,Whole Year,4225.0,4647.0,1.099881657,2036.0
Arunachal Pradesh,DIBANG VALLEY,Oilseeds total,2002,Whole Year,80.0,56.0,0.7,2389.2
Arunachal Pradesh,DIBANG VALLEY,Oilseeds total,2003,Whole Year,85.0,72.0,0.847058824,2451.8
Arunachal Pradesh,EAST KAMENG,Oilseeds total,2001,Whole Year,790.0,717.0,0.907594937,2036.0
Arunachal Pradesh,EAST KAMENG,Oilseeds total,2002,Whole Year,828.0,894.0,1.079710145,2389.2
Arunachal Pradesh,EAST KAMENG,Oilseeds total,2003,Whole Year,830.0,900.0,1.084337349,2451.8
Arunachal Pradesh,EAST SIANG,Oilseeds total,2001,Whole Year,4375.0,4460.0,1.019428571,2036.0
Arunachal Pradesh,EAST SIANG,Oilseeds total,2002,Whole Year,4375.0,4470.0,1.021714286,2389.2
Arunachal Pradesh,EAST SIANG,Oilseeds total,2003,Whole Year,4365.0,4112.0,0.942038946,2451.8
Arunachal Pradesh,KURUNG KUMEY,Oilseeds total,2002,Whole Year,380.0,320.0,0.842105263,2389.2
Arunachal Pradesh,KURUNG KUMEY,Oilseeds total,2003,Whole Year,350.0,301.0,0.86,2451.8
Arunachal Pradesh,LOHIT,Oilseeds total,2001,Whole Year,8560.0,10272.0,1.2,2036.0
Arunachal Pradesh,LOHIT,Oilseeds total,2002,Whole Year,9170.0,11004.0,1.2,2389.2
Arunachal Pradesh,LOHIT,Oilseeds total,2003,Whole Year,9150.0,10980.0,1.2,2451.8
Arunachal Pradesh,LOWER DIBANG VALLEY,Oilseeds total,2002,Whole Year,3812.0,3642.0,0.955403987,2389.2
Arunachal Pradesh,LOWER DIBANG VALLEY,Oilseeds total,2003,Whole Year,3815.0,3700.0,0.969855832,2451.8
Arunachal Pradesh,LOWER SUBANSIRI,Oilseeds total,2001,Whole Year,280.0,320.0,1.142857143,2036.0
Arunachal Pradesh,LOWER SUBANSIRI,Oilseeds total,2002,Whole Year,310.0,368.0,1.187096774,2389.2
Arunachal Pradesh,LOWER SUBANSIRI,Oilseeds total,2003,Whole Year,1050.0,840.0,0.8,2451.8
Arunachal Pradesh,PAPUM PARE,Oilseeds total,2001,Whole Year,1460.0,1485.0,1.017123288,2036.0
Arunachal Pradesh,PAPUM PARE,Oilseeds total,2002,Whole Year,1460.0,1485.0,1.017123288,2389.2
Arunachal Pradesh,PAPUM PARE,Oilseeds total,2003,Whole Year,1551.0,1567.0,1.010315925,2451.8
Arunachal Pradesh,TAWANG,Oilseeds total,2001,Whole Year,305.0,370.0,1.213114754,2036.0
Arunachal Pradesh,TAWANG,Oilseeds total,2002,Whole Year,275.0,341.0,1.24,2389.2
Arunachal Pradesh,TAWANG,Oilseeds total,2003,Whole Year,220.0,264.0,1.2,2451.8
Arunachal Pradesh,TIRAP,Oilseeds total,2001,Whole Year,1000.0,1000.0,1.0,2036.0
Arunachal Pradesh,TIRAP,Oilseeds total,2002,Whole Year,1316.0,1433.0,1.088905775,2389.2
Arunachal Pradesh,TIRAP,Oilseeds total,2003,Whole Year,783.0,755.0,0.964240102,2451.8
Arunachal Pradesh,UPPER SIANG,Oilseeds total,2001,Whole Year,75.0,70.0,0.933333333,2036.0
Arunachal Pradesh,UPPER SIANG,Oilseeds total,2002,Whole Year,80.0,79.0,0.9875,2389.2
Arunachal Pradesh,UPPER SIANG,Oilseeds total,2003,Whole Year,80.0,79.0,0.9875,2451.8
Arunachal Pradesh,UPPER SUBANSIRI,Oilseeds total,2001,Whole Year,1300.0,1285.0,0.988461538,2036.0
Arunachal Pradesh,UPPER SUBANSIRI,Oilseeds total,2002,Whole Year,1000.0,865.0,0.865,2389.2
Arunachal Pradesh,UPPER SUBANSIRI,Oilseeds total,2003,Whole Year,315.0,375.0,1.19047619,2451.8
Arunachal Pradesh,WEST KAMENG,Oilseeds total,2001,Whole Year,53.0,45.0,0.849056604,2036.0
Arunachal Pradesh,WEST KAMENG,Oilseeds total,2002,Whole Year,163.0,173.0,1.061349693,2389.2
Arunachal Pradesh,WEST KAMENG,Oilseeds total,2003,Whole Year,163.0,173.0,1.061349693,2451.8
Arunachal Pradesh,WEST SIANG,Oilseeds total,2001,Whole Year,1628.0,1772.0,1.088452088,2036.0
Arunachal Pradesh,WEST SIANG,Oilseeds total,2002,Whole Year,1745.0,1804.0,1.033810888,2389.2
Arunachal Pradesh,WEST SIANG,Oilseeds total,2003,Whole Year,1745.0,1804.0,1.033810888,2451.8
Arunachal Pradesh,CHANGLANG,Potato,2001,Whole Year,25.0,133.0,5.32,2036.0
Arunachal Pradesh,CHANGLANG,Potato,2002,Whole Year,50.0,290.0,5.8,2389.2
Arunachal Pradesh,CHANGLANG,Potato,2003,Whole Year,48.0,264.0,5.5,2451.8
Arunachal Pradesh,DIBANG VALLEY,Potato,2001,Whole Year,520.0,3640.0,7.0,2036.0
Arunachal Pradesh,DIBANG VALLEY,Potato,2002,Whole Year,50.0,325.0,6.5,2389.2
Arunachal Pradesh,DIBANG VALLEY,Potato,2003,Whole Year,92.0,644.0,7.0,2451.8
Arunachal Pradesh,EAST KAMENG,Potato,2001,Whole Year,63.0,366.0,5.80952381,2036.0
Arunachal Pradesh,EAST KAMENG,Potato,2002,Whole Year,70.0,410.0,5.857142857,2389.2
Arunachal Pradesh,EAST KAMENG,Potato,2003,Whole Year,70.0,410.0,5.857142857,2451.8
Arunachal Pradesh,EAST SIANG,Potato,2001,Whole Year,530.0,4400.0,8.301886792,2036.0
Arunachal Pradesh,EAST SIANG,Potato,2002,Whole Year,570.0,4640.0,8.140350877,2389.2
Arunachal Pradesh,EAST SIANG,Potato,2003,Whole Year,620.0,5090.0,8.209677419,2451.8
Arunachal Pradesh,KURUNG KUMEY,Potato,2002,Whole Year,215.0,1540.0,7.162790698,2389.2
Arunachal Pradesh,KURUNG KUMEY,Potato,2003,Whole Year,230.0,1635.0,7.108695652,2451.8
Arunachal Pradesh,LOHIT,Potato,2001,Whole Year,620.0,5084.0,8.2,2036.0
Arunachal Pradesh,LOHIT,Potato,2002,Whole Year,630.0,5166.0,8.2,2389.2
Arunachal Pradesh,LOHIT,Potato,2003,Whole Year,580.0,4756.0,8.2,2451.8
Arunachal Pradesh,LOWER DIBANG VALLEY,Potato,2002,Whole Year,76.0,608.0,8.0,2389.2
Arunachal Pradesh,LOWER DIBANG VALLEY,Potato,2003,Whole Year,100.0,800.0,8.0,2451.8
Arunachal Pradesh,LOWER SUBANSIRI,Potato,2001,Whole Year,170.0,1450.0,8.529411765,2036.0
Arunachal Pradesh,LOWER SUBANSIRI,Potato,2002,Whole Year,550.0,3898.0,7.087272727,2389.2
Arunachal Pradesh,LOWER SUBANSIRI,Potato,2003,Whole Year,254.0,2537.0,9.988188976,2451.8
Arunachal Pradesh,PAPUM PARE,Potato,2001,Whole Year,88.0,627.0,7.125,2036.0
Arunachal Pradesh,PAPUM PARE,Potato,2002,Whole Year,83.0,630.0,7.590361446,2389.2
Arunachal Pradesh,PAPUM PARE,Potato,2003,Whole Year,74.0,684.0,9.243243243,2451.8
Arunachal Pradesh,TAWANG,Potato,2001,Whole Year,1100.0,5500.0,5.0,2036.0
Arunachal Pradesh,TAWANG,Potato,2002,Whole Year,1110.0,5550.0,5.0,2389.2
Arunachal Pradesh,TAWANG,Potato,2003,Whole Year,1010.0,5555.0,5.5,2451.8
Arunachal Pradesh,TIRAP,Potato,2001,Whole Year,50.0,300.0,6.0,2036.0
Arunachal Pradesh,TIRAP,Potato,2002,Whole Year,52.0,307.0,5.903846154,2389.2
Arunachal Pradesh,TIRAP,Potato,2003,Whole Year,55.0,325.0,5.909090909,2451.8
Arunachal Pradesh,UPPER SIANG,Potato,2001,Whole Year,50.0,250.0,5.0,2036.0
Arunachal Pradesh,UPPER SIANG,Potato,2002,Whole Year,55.0,260.0,4.727272727,2389.2
Arunachal Pradesh,UPPER SIANG,Potato,2003,Whole Year,55.0,260.0,4.727272727,2451.8
Arunachal Pradesh,UPPER SUBANSIRI,Potato,2001,Whole Year,800.0,6000.0,7.5,2036.0
Arunachal Pradesh,UPPER SUBANSIRI,Potato,2002,Whole Year,180.0,1503.0,8.35,2389.2
Arunachal Pradesh,UPPER SUBANSIRI,Potato,2003,Whole Year,185.0,1508.0,8.151351351,2451.8
Arunachal Pradesh,WEST KAMENG,Potato,2001,Whole Year,390.0,3510.0,9.0,2036.0
Arunachal Pradesh,WEST KAMENG,Potato,2002,Whole Year,390.0,3510.0,9.0,2389.2
Arunachal Pradesh,WEST KAMENG,Potato,2003,Whole Year,395.0,3555.0,9.0,2451.8
Arunachal Pradesh,WEST SIANG,Potato,2001,Whole Year,240.0,1375.0,5.729166667,2036.0
Arunachal Pradesh,WEST SIANG,Potato,2002,Whole Year,254.0,1546.0,6.086614173,2389.2
Arunachal Pradesh,WEST SIANG,Potato,2003,Whole Year,254.0,1546.0,6.086614173,2451.8
Arunachal Pradesh,CHANGLANG,Rice,2001,Kharif,11857.0,16250.0,1.37049844,2036.0
Arunachal Pradesh,CHANGLANG,Rice,2002,Kharif,11860.0,16780.0,1.414839798,2389.2
Arunachal Pradesh,CHANGLANG,Rice,2003,Kharif,11867.0,18508.0,1.559619112,2451.8
Arunachal Pradesh,DIBANG VALLEY,Rice,2001,Kharif,5400.0,3840.0,0.711111111,2036.0
Arunachal Pradesh,DIBANG VALLEY,Rice,2002,Kharif,1691.0,1522.0,0.900059137,2389.2
Arunachal Pradesh,DIBANG VALLEY,Rice,2003,Kharif,1700.0,1700.0,1.0,2451.8
Arunachal Pradesh,EAST KAMENG,Rice,2001,Kharif,12310.0,16790.0,1.363931763,2036.0
Arunachal Pradesh,EAST KAMENG,Rice,2002,Kharif,8500.0,10715.0,1.260588235,2389.2
Arunachal Pradesh,EAST KAMENG,Rice,2003,Kharif,8510.0,10725.0,1.260282021,2451.8
Arunachal Pradesh,EAST SIANG,Rice,2001,Kharif,5400.0,5000.0,0.925925926,2036.0
Arunachal Pradesh,EAST SIANG,Rice,2002,Kharif,12330.0,26605.0,2.157745337,2389.2
Arunachal Pradesh,EAST SIANG,Rice,2003,Kharif,12100.0,28000.0,2.314049587,2451.8
Arunachal Pradesh,KURUNG KUMEY,Rice,2002,Kharif,6300.0,7440.0,1.180952381,2389.2
Arunachal Pradesh,KURUNG KUMEY,Rice,2003,Kharif,7434.0,6375.0,0.857546408,2451.8
Arunachal Pradesh,LOHIT,Rice,2001,Kharif,10900.0,14170.0,1.3,2036.0
Arunachal Pradesh,LOHIT,Rice,2002,Kharif,14158.0,12883.0,0.909944907,2389.2
Arunachal Pradesh,LOHIT,Rice,2003,Kharif,14257.0,19390.0,1.360033668,2451.8
Arunachal Pradesh,LOWER DIBANG VALLEY,Rice,2002,Kharif,9580.0,13500.0,1.409185804,2389.2
Arunachal Pradesh,LOWER DIBANG VALLEY,Rice,2003,Kharif,9650.0,11100.0,1.150259067,2451.8
Arunachal Pradesh,LOWER SUBANSIRI,Rice,2001,Kharif,4350.0,3500.0,0.804597701,2036.0
Arunachal Pradesh,LOWER SUBANSIRI,Rice,2002,Kharif,14800.0,17465.0,1.180067568,2389.2
Arunachal Pradesh,LOWER SUBANSIRI,Rice,2003,Kharif,8460.0,10152.0,1.2,2451.8
Arunachal Pradesh,PAPUM PARE,Rice,2001,Kharif,7940.0,8270.0,1.041561713,2036.0
Arunachal Pradesh,PAPUM PARE,Rice,2002,Kharif,8050.0,8500.0,1.055900621,2389.2
Arunachal Pradesh,PAPUM PARE,Rice,2003,Kharif,8470.0,9825.0,1.159976387,2451.8
Arunachal Pradesh,TAWANG,Rice,2001,Kharif,902.0,1190.0,1.319290466,2036.0
Arunachal Pradesh,TAWANG,Rice,2002,Kharif,907.0,1210.0,1.334068357,2389.2
Arunachal Pradesh,TAWANG,Rice,2003,Kharif,911.0,1221.0,1.340285401,2451.8
Arunachal Pradesh,TIRAP,Rice,2001,Kharif,8300.0,10458.0,1.26,2036.0
Arunachal Pradesh,TIRAP,Rice,2002,Kharif,5580.0,2490.0,0.446236559,2389.2
Arunachal Pradesh,TIRAP,Rice,2003,Kharif,5582.0,3830.0,0.686134002,2451.8
Arunachal Pradesh,UPPER SIANG,Rice,2001,Kharif,11450.0,16030.0,1.4,2036.0
Arunachal Pradesh,UPPER SIANG,Rice,2002,Kharif,5500.0,5400.0,0.981818182,2389.2
